step,rlinf_pinned_loss,ref_pinned_loss,abs_delta,within_0.03,rlinf_lr,rlinf_grad_norm,ref_grad_norm
0,0.307251,0.304868,0.002383,1,2.4975024714990468e-08,9.05397,9.11358
1,0.353027,0.354867,0.00184,1,4.9950049429980936e-08,10.08537,10.17943
2,0.330811,0.330465,0.000346,1,7.492507592132824e-08,4.39617,4.27858
3,0.256348,0.255384,0.000964,1,9.990009885996187e-08,2.14169,2.1298
4,0.206543,0.205949,0.000594,1,1.2487511469316814e-07,2.23909,2.23269
5,0.184326,0.183762,0.000564,1,1.498501518426565e-07,1.52084,1.51296
6,0.222778,0.221723,0.001055,1,1.7482517478129012e-07,3.08515,3.01832
7,0.335693,0.335209,0.000484,1,1.9980019771992374e-07,10.00893,9.83517
8,0.275513,0.275147,0.000366,1,2.247752348694121e-07,3.607,3.59179
9,0.319214,0.318809,0.000405,1,2.497502293863363e-07,5.20657,5.29314
10,0.269653,0.268981,0.000672,1,2.7472526653582463e-07,3.40429,3.39022
11,0.217407,0.216069,0.001338,1,2.99700303685313e-07,1.86648,1.8574
12,0.291382,0.290696,0.000686,1,3.246753124130919e-07,6.58398,6.62456
13,0.30542,0.304815,0.000605,1,3.4965034956258023e-07,5.0232,4.98021
14,0.209229,0.208015,0.001214,1,3.746253867120686e-07,2.24118,2.23818
15,0.184204,0.183189,0.001015,1,3.996003954398475e-07,1.59724,1.59484
16,0.1698,0.168702,0.001098,1,4.2457537574591697e-07,1.81726,1.80779
17,0.228394,0.227074,0.00132,1,4.495504697388242e-07,3.30807,3.2524
18,0.212891,0.211833,0.001058,1,4.745254784666031e-07,2.49236,2.5341
19,0.218994,0.217203,0.001791,1,4.995004587726726e-07,6.90056,6.87495
20,0.150024,0.149414,0.00061,1,5.244755243438703e-07,1.53579,1.52878
21,0.250122,0.248961,0.001161,1,5.494505330716493e-07,2.09179,2.08897
22,0.268311,0.265992,0.002319,1,5.744255417994282e-07,4.04967,3.79294
23,0.188721,0.187675,0.001046,1,5.99400607370626e-07,1.59668,1.58799
24,0.182129,0.181415,0.000714,1,6.243756160984049e-07,2.10781,2.08938
25,0.186035,0.185429,0.000606,1,6.493506248261838e-07,1.5959,1.57703
26,0.165894,0.165861,3.3e-05,1,6.743256903973815e-07,1.6568,1.64907
27,0.162537,0.161347,0.00119,1,6.993006991251605e-07,1.85819,1.8482
28,0.148315,0.147682,0.000633,1,7.242757078529394e-07,1.21321,1.20629
29,0.206543,0.206432,0.000111,1,7.492507734241372e-07,2.73537,2.70113
30,0.162231,0.161477,0.000754,1,7.742256684650783e-07,1.41385,1.40171
31,0.148682,0.148096,0.000586,1,7.99200790879695e-07,1.3291,1.32541
32,0.161133,0.160485,0.000648,1,8.241758564508928e-07,1.20839,1.1875
33,0.105591,0.105404,0.000187,1,8.491507514918339e-07,0.909,0.90438
34,0.126892,0.126619,0.000273,1,8.741258739064506e-07,1.07504,1.07356
35,0.121948,0.121643,0.000305,1,8.991009394776484e-07,1.02751,1.02873
36,0.14093,0.140653,0.000277,1,9.240758345185895e-07,0.9629,0.95501
37,0.106628,0.106165,0.000463,1,9.490509569332062e-07,1.13737,1.13285
38,0.093079,0.093128,4.9e-05,1,9.74025965660985e-07,0.85349,0.85256
39,0.114075,0.113813,0.000262,1,9.990009175453451e-07,0.85755,0.85362
40,0.126099,0.125553,0.000546,1,1.023975983116543e-06,1.20696,1.20075
41,0.144775,0.144666,0.000109,1,1.0489510486877407e-06,0.95982,0.95868
42,0.090027,0.089833,0.000194,1,1.0739260005721007e-06,0.88057,0.88237
43,0.10199,0.101899,9.1e-05,1,1.0989010661432985e-06,0.7608,0.75532
44,0.09314,0.093095,4.5e-05,1,1.1238761317144963e-06,1.121,1.12266
45,0.105225,0.104963,0.000262,1,1.1488510835988563e-06,1.12637,1.12667
46,0.078796,0.078692,0.000104,1,1.1738261491700541e-06,0.87834,0.87399
47,0.098389,0.098089,0.0003,1,1.198801214741252e-06,1.03402,1.02648
48,0.128113,0.12777,0.000343,1,1.223776166625612e-06,1.02539,1.01933
49,0.084412,0.084369,4.3e-05,1,1.2487512321968097e-06,0.92827,0.93327
